Customer Code,Agenda Appointments,Appointments Completed,Customer Code,Customer Type Group,Shop Code - Descr,Service Category Descr,Service Descr
00001DWI,01,,00001DWI,PROSPECT,023-LAS PALMAS GRAN CANARIA - SAN BERNARDO,1st APPS,OPORTUNIDAD POTENCIAL
00001E0J,01,01,00001E0J,PROSPECT,098-ALCALA DE HENARES - CERVANTES,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001EG3,01,01,00001EG3,CUSTOMER,024-BARCELONA - DE GUIPÚSCOA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001EM1,01,01,00001EM1,CUSTOMER,012-CASTELLO DE LA PLANA - MAYOR,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001EMK,01,01,00001EMK,CUSTOMER,098-ALCALA DE HENARES - CERVANTES,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001EP1,01,01,00001EP1,LEAD,111-GRANOLLERS,1st APPS,OPORTUNIDAD POTENCIAL
00001ESW,01,01,00001ESW,CUSTOMER,179-LA LINEA DE LA CONCEPCION,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001EVO,01,,00001EVO,PROSPECT,177-PONFERRADA,1st APPS,OPORTUNIDAD POTENCIAL
00001EWJ,01,01,00001EWJ,PROSPECT,123-BARCELONA - TRAVESSERA DE LES CORTS,Pre-Sales,1° CONTROL PRUEBA
00001F0G,01,,00001F0G,PROSPECT,149-MIERES,1st APPS,OPORTUNIDAD POTENCIAL
00001F5Y,01,,00001F5Y,CUSTOMER,046-MADRID - LOPEZ DE HOYOS,Pre-Sales,CIERRE DE LA PRUEBA
00001F80,01,,00001F80,PROSPECT,023-LAS PALMAS GRAN CANARIA - SAN BERNARDO,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001FA5,01,,00001FA5,PROSPECT,016-FERROL - REAL,1st APPS,OPORTUNIDAD POTENCIAL
00001G15,01,,00001G15,PROSPECT,163-MADRID - DEL MEDITERRANEO,1st APPS,EXAMEN TELEMARKETING LE
00001G8A,01,01,00001G8A,CUSTOMER,025-LLEIDA - MAGI MORERA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001GK8,01,,00001GK8,CUSTOMER,183-TUDELA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001H67,01,01,00001H67,CUSTOMER,076-SAN FERNANDO - ROSARIO,1st APPS,OPORTUNIDAD POTENCIAL
00001HCJ,01,01,00001HCJ,CUSTOMER,093-MALAGA - ALAMEDA DE COLON,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001HWK,01,,00001HWK,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001HZX,01,,00001HZX,CUSTOMER,075-BILBAO - DR. AREILZA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001I96,01,01,00001I96,CUSTOMER,137-ZARAGOZA - TERUEL,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001IFL,01,,00001IFL,PROSPECT,038-PAMPLONA/IRUÑA - FELIPE GORRITI,1st APPS,OPORTUNIDAD POTENCIAL
00001IGN,01,01,00001IGN,CUSTOMER,029-ALBACETE - ROSARIO,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001ILT,01,01,00001ILT,PROSPECT,074-COLLADO VILLALBA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001ILT,01,,00001ILT,PROSPECT,074-COLLADO VILLALBA,Pre-Sales,1° CONTROL PRUEBA
00001IQ2,01,01,00001IQ2,CUSTOMER,020-SEVILLA - LUIS MONTOTO,1st APPS,OPORTUNIDAD POTENCIAL
00001IW4,01,01,00001IW4,CUSTOMER,202-LA OROTAVA - OBISPO BENITEZ DE LUGO,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001J7E,01,,00001J7E,PROSPECT,207-ANTEQUERA,1st APPS,OPORTUNIDAD POTENCIAL
00001JPW,01,01,00001JPW,PROSPECT,122-BARCELONA - SANTS 1,1st APPS,OPORTUNIDAD POTENCIAL
00001JYZ,01,01,00001JYZ,PROSPECT,111-GRANOLLERS,1st APPS,OPORTUNIDAD POTENCIAL
00001JZ6,01,01,00001JZ6,CUSTOMER,036-VITORIA-GASTEIZ - SAN PRUDENCIO,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001JZY,01,01,00001JZY,CUSTOMER,009-TARRAGONA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001KZJ,01,01,00001KZJ,PROSPECT,86A-BARCELONA - CASP,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001MLV,01,01,00001MLV,PROSPECT,038-PAMPLONA/IRUÑA - FELIPE GORRITI,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001NHS,01,,00001NHS,LEAD,214-JAEN - ANDALUCIA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001OYU,01,,00001OYU,CUSTOMER,229-SANT BOI DE LLOBREGAT,1st APPS,EXAMEN TELEMARKETING LE
00001PHG,01,,00001PHG,LEAD,239-SAN JUAN DE ALICANTE,1st APPS,EXAMEN TELEMARKETING LE
00001QC8,01,01,00001QC8,CUSTOMER,078-BADAJOZ,Pre-Sales,1° CONTROL PRUEBA
00001QM5,01,,00001QM5,PROSPECT,094-FUENGIROLA,1st APPS,OPORTUNIDAD POTENCIAL
00001QUE,01,,00001QUE,PROSPECT,060-HUELVA - PLUS ULTRA,1st APPS,OPORTUNIDAD POTENCIAL
00001QUZ,01,,00001QUZ,PROSPECT,179-LA LINEA DE LA CONCEPCION,1st APPS,OPORTUNIDAD POTENCIAL
00001RPP,01,01,00001RPP,LEAD,906-MANISES - RIBARROJA,Pre-Sales,CIERRE DE LA PRUEBA
00001SGV,01,,00001SGV,PROSPECT,054-CHICLANA DE LA FRONTERA,1st APPS,OPORTUNIDAD POTENCIAL
00001SYA,01,01,00001SYA,CUSTOMER,014-PONTEVEDRA - RÚA PEREGRINA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001TBS,01,01,00001TBS,PROSPECT,057-A CORUÑA - DE OZA,Pre-Sales,2° CONTROL PRUEBA
00001TPW,01,01,00001TPW,LEAD,123-BARCELONA - TRAVESSERA DE LES CORTS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
